merchantId|merchantName|merchantCityCode|merchantProviceCode|merchantLat|merchantLng|merchantStatus
非空|广东|445281|445281|10度10分10秒|20度20分20秒|0
非空|广东|445281|445281|10度10分10秒|20度20分20秒|1
非空|广东|445281|445281|10度10分10秒|20度20分20秒|2

非空|广东|445281|445281|10度10分10秒|20度20分20秒|2
非空|广东|445281|445281|10度10分10秒|20度20分20秒|2

非空|广东|445281||10度10分10秒|20度20分20秒|2
非空|广东||445281|10度10分10秒|20度20分20秒|2

非空|广东|4452811|445281|10度10分10秒|20度20分20秒|2
非空|广东|445281|4452811|10度10分10秒|20度20分20秒|2
非空|广东|44528|445281|10度10分10秒|20度20分20秒|2
非空|广东|445281|44528|10度10分10秒|20度20分20秒|2

|广东|445281|445281|10度10分10秒|20度20分20秒|0
|广东|445281|445281|10度10分10秒|20度20分20秒|1
|广东|445281|445281|10度10分10秒|20度20分20秒|2
